Settlement ID,Date,Ledger,Party,Amount,Commission,Fees,TCS
STL-00001,2026-09-05,HDFC Bank,JioMart,35977.86,4369.16,1380.87,359.78
STL-00002,2026-11-26,HDFC Bank,Meesho,116365.18,13073.79,1335.82,1163.65
STL-00003,2026-11-02,HDFC Bank,Amazon Marketplace,3099.64,416.86,84.79,31.0
STL-00004,2026-04-16,HDFC Bank,Amazon Marketplace,74114.82,4688.89,1100.86,741.15
STL-00005,2026-05-28,HDFC Bank,Meesho,16118.55,924.51,629.95,161.19
STL-00006,2026-09-24,HDFC Bank,JioMart,46574.08,3366.59,1816.05,465.74
STL-00007,2026-09-05,HDFC Bank,Myntra,78991.3,10605.84,2096.88,789.91
STL-00008,2026-09-17,HDFC Bank,Flipkart Seller,78498.97,5403.97,2124.69,784.99
STL-00009,2026-08-28,HDFC Bank,Flipkart Seller,52704.1,7351.97,1819.18,527.04
STL-00010,2026-11-12,HDFC Bank,Meesho,26223.71,2662.33,314.26,262.24
STL-00011,2026-06-26,HDFC Bank,JioMart,26998.36,3410.3,315.49,269.98
STL-00012,2026-07-17,HDFC Bank,Meesho,74578.75,9399.53,1495.81,745.79
STL-00013,2026-05-19,HDFC Bank,Flipkart Seller,73355.25,7716.46,2796.36,733.55
STL-00014,2026-09-27,HDFC Bank,Amazon Marketplace,89443.2,4599.89,1596.83,894.43
STL-00015,2026-05-19,HDFC Bank,Myntra,38580.31,2676.32,721.48,385.8
STL-00016,2026-08-03,HDFC Bank,JioMart,23315.2,1610.7,293.56,233.15
STL-00017,2026-10-24,HDFC Bank,Flipkart Seller,57452.84,3919.34,904.97,574.53
STL-00018,2026-06-30,HDFC Bank,Meesho,93362.0,11456.93,1132.8,933.62
STL-00019,2026-12-23,HDFC Bank,Myntra,86324.71,9687.03,2472.7,863.25
STL-00020,2026-05-02,HDFC Bank,JioMart,100872.94,11008.77,2804.76,1008.73
STL-00021,2026-07-13,HDFC Bank,Meesho,96922.63,14127.91,1693.78,969.23
STL-00022,2026-07-23,HDFC Bank,JioMart,105587.94,10268.77,3993.86,1055.88
STL-00023,2026-09-24,HDFC Bank,Flipkart Seller,104828.67,12056.06,3850.47,1048.29
STL-00024,2026-10-03,HDFC Bank,JioMart,60747.66,8572.15,1442.08,607.48
STL-00025,2026-04-10,HDFC Bank,Amazon Marketplace,71788.97,3955.87,1352.38,717.89
STL-00026,2026-07-27,HDFC Bank,Amazon Marketplace,30470.68,3257.31,370.78,304.71
STL-00027,2026-11-02,HDFC Bank,Myntra,24252.26,1561.57,726.27,242.52
STL-00028,2026-10-24,HDFC Bank,Amazon Marketplace,25697.02,2641.3,480.12,256.97
STL-00029,2026-12-02,HDFC Bank,Meesho,49766.21,3771.78,1623.89,497.66
STL-00030,2026-07-03,HDFC Bank,JioMart,52858.44,7753.93,1936.52,528.58
STL-00031,2026-08-09,HDFC Bank,Amazon Marketplace,101920.01,5318.41,3457.08,1019.2
STL-00032,2026-05-16,HDFC Bank,Myntra,118031.31,6106.81,1532.66,1180.31
STL-00033,2026-05-18,HDFC Bank,Flipkart Seller,45852.66,4016.01,1725.98,458.53
STL-00034,2026-09-28,HDFC Bank,Amazon Marketplace,13177.69,712.62,446.54,131.78
STL-00035,2026-04-26,HDFC Bank,Meesho,12834.83,741.47,340.49,128.35
STL-00036,2026-05-08,HDFC Bank,Flipkart Seller,93076.38,11542.84,1748.16,930.76
STL-00037,2026-08-26,HDFC Bank,Flipkart Seller,26983.56,3103.91,879.66,269.84
STL-00038,2026-06-11,HDFC Bank,Meesho,116238.68,7186.13,2282.73,1162.39
STL-00039,2026-09-13,HDFC Bank,Amazon Marketplace,40730.64,2123.09,855.44,407.31
STL-00040,2026-09-13,HDFC Bank,Amazon Marketplace,68911.81,7108.57,1919.72,689.12
STL-00041,2026-10-03,HDFC Bank,Amazon Marketplace,32248.13,3823.41,1229.46,322.48
STL-00042,2026-11-30,HDFC Bank,Amazon Marketplace,82995.04,6051.33,1594.85,829.95
STL-00043,2026-04-02,HDFC Bank,Flipkart Seller,57167.7,6694.47,2228.69,571.68
STL-00044,2026-12-07,HDFC Bank,Myntra,12544.66,1664.72,245.79,125.45
STL-00045,2026-12-14,HDFC Bank,Myntra,17786.0,1437.92,359.91,177.86
STL-00046,2026-08-26,HDFC Bank,JioMart,117207.05,11177.16,2941.26,1172.07
STL-00047,2026-05-03,HDFC Bank,Meesho,21252.94,2453.75,232.0,212.53
STL-00048,2026-08-03,HDFC Bank,Amazon Marketplace,13708.38,1830.94,362.49,137.08
STL-00049,2026-08-03,HDFC Bank,Amazon Marketplace,119845.26,15683.96,2323.99,1198.45
STL-00050,2026-09-13,HDFC Bank,Myntra,83172.55,6618.61,1995.9,831.73
STL-00051,2026-06-01,HDFC Bank,Amazon Marketplace,11075.28,816.74,387.31,110.75
STL-00052,2026-04-13,HDFC Bank,Flipkart Seller,61499.61,8684.68,1931.23,615.0
