Item Name,Base Units,Under,HSN Code,GST Rate,Opening Qty,Opening Rate
Yoga Mat - Variant 001,Pcs,Finished Goods,39181090,18,339,936.11
Bedsheet Double - Variant 002,Set,Finished Goods,63041930,12,155,152.2
Bluetooth Speaker - Variant 003,Kg,Finished Goods,85182200,18,119,2614.71
Wall Clock - Variant 004,Set,Finished Goods,91051900,18,57,1765.18
Almonds 500g - Variant 005,Set,Finished Goods,08021200,12,92,1176.27
Bedsheet Double - Variant 006,Pack,Finished Goods,63041930,12,253,630.34
Ceramic Mug - Variant 007,Box,Finished Goods,69120010,12,158,1983.7
Basmati Rice 5kg - Variant 008,Pack,Finished Goods,10063020,5,352,693.21
Wall Clock - Variant 009,Nos,Finished Goods,91051900,18,23,1401.7
Extension Board - Variant 010,Nos,Finished Goods,85366990,18,326,135.07
LED Bulb 9W - Variant 011,Pack,Finished Goods,85395000,12,164,162.41
Green Tea - Variant 012,Set,Finished Goods,09102090,18,74,918.99
Ball Pen - Variant 013,Pack,Finished Goods,96081019,18,282,552.73
Almonds 500g - Variant 014,Set,Finished Goods,08021200,12,436,584.84
Cotton T-Shirt - Variant 015,Nos,Finished Goods,61091000,5,152,1173.64
Wall Clock - Variant 016,Box,Finished Goods,91051900,18,217,460.21
Green Tea - Variant 017,Pcs,Finished Goods,09102090,18,102,1660.84
Bluetooth Speaker - Variant 018,Pack,Finished Goods,85182200,18,344,2712.65
USB Cable - Variant 019,Nos,Finished Goods,85444299,18,466,2118.87
Bedsheet Double - Variant 020,Box,Finished Goods,63041930,12,194,1030.85
Cotton T-Shirt - Variant 021,Kg,Finished Goods,61091000,5,333,2484.26
Denim Jeans - Variant 022,Box,Finished Goods,62034200,12,287,2995.03
Extension Board - Variant 023,Nos,Finished Goods,85366990,18,89,376.93
Turmeric Powder - Variant 024,Pack,Finished Goods,09103020,5,54,900.79
Ball Pen - Variant 025,Pcs,Finished Goods,96081019,18,219,1304.46
Wall Clock - Variant 026,Pack,Finished Goods,91051900,18,193,2780.66
Yoga Mat - Variant 027,Set,Finished Goods,39181090,18,359,2287.08
Notebook A5 - Variant 028,Box,Finished Goods,48201010,12,94,1968.74
Cotton T-Shirt - Variant 029,Kg,Finished Goods,61091000,5,422,582.41
Yoga Mat - Variant 030,Kg,Finished Goods,39181090,18,471,119.13
Cotton T-Shirt - Variant 031,Pack,Finished Goods,61091000,5,309,2248.65
Notebook A5 - Variant 032,Pcs,Finished Goods,48201010,12,305,1997.15
Extension Board - Variant 033,Box,Finished Goods,85366990,18,339,1937.86
Bluetooth Speaker - Variant 034,Set,Finished Goods,85182200,18,131,1607.91
Wall Clock - Variant 035,Nos,Finished Goods,91051900,18,7,2520.21
Turmeric Powder - Variant 036,Box,Finished Goods,09103020,5,415,1600.6
USB Cable - Variant 037,Pcs,Finished Goods,85444299,18,65,743.22
LED Bulb 9W - Variant 038,Nos,Finished Goods,85395000,12,456,596.96
Extension Board - Variant 039,Pcs,Finished Goods,85366990,18,261,1987.61
Ball Pen - Variant 040,Box,Finished Goods,96081019,18,423,2058.69
Cotton T-Shirt - Variant 041,Pack,Finished Goods,61091000,5,427,1677.7
Cotton T-Shirt - Variant 042,Pcs,Finished Goods,61091000,5,20,1776.79
Bedsheet Double - Variant 043,Nos,Finished Goods,63041930,12,276,430.31
Bedsheet Double - Variant 044,Set,Finished Goods,63041930,12,262,1820.21
Yoga Mat - Variant 045,Box,Finished Goods,39181090,18,182,2356.96
Face Wash - Variant 046,Pack,Finished Goods,34013090,18,55,840.36
Turmeric Powder - Variant 047,Box,Finished Goods,09103020,5,63,1994.12
Turmeric Powder - Variant 048,Pack,Finished Goods,09103020,5,228,2207.94
